design	output	parameter	n_samples	S1	ST
narrow_beta	peak_I_child	beta	128	-0.0297	1.2966
narrow_beta	peak_I_child	gamma	128	0.0419	0.4777
narrow_beta	peak_I_child	sigma	128	0.9863	1.4310
narrow_beta	peak_I_adult	beta	128	-0.0307	1.2988
narrow_beta	peak_I_adult	gamma	128	0.0360	0.4656
narrow_beta	peak_I_adult	sigma	128	0.9979	1.4345
narrow_beta	peak_I_child	beta	256	0.0206	1.4231
narrow_beta	peak_I_child	gamma	256	-0.1232	0.6900
narrow_beta	peak_I_child	sigma	256	0.2914	1.0099
narrow_beta	peak_I_adult	beta	256	0.0224	1.4265
narrow_beta	peak_I_adult	gamma	256	-0.1161	0.6709
narrow_beta	peak_I_adult	sigma	256	0.2942	1.0144
narrow_beta	peak_I_child	beta	512	0.4567	0.9955
narrow_beta	peak_I_child	gamma	512	0.4426	1.0145
narrow_beta	peak_I_child	sigma	512	-0.0031	0.0029
narrow_beta	peak_I_adult	beta	512	0.4582	0.9976
narrow_beta	peak_I_adult	gamma	512	0.4420	1.0138
narrow_beta	peak_I_adult	sigma	512	-0.0076	0.0035
narrow_beta	peak_I_child	beta	1024	0.0011	0.0030
narrow_beta	peak_I_child	gamma	1024	0.6172	0.6129
narrow_beta	peak_I_child	sigma	1024	0.3716	0.3865
narrow_beta	peak_I_adult	beta	1024	0.0007	0.0037
narrow_beta	peak_I_adult	gamma	1024	0.6298	0.6271
narrow_beta	peak_I_adult	sigma	1024	0.3566	0.3730
